id,name,description,startDate,endDate,color,coverImage,slideshowImages,performers,playlistId,createdBy,createdAt,updatedAt,location,latitude,longitude,latitudeDelta,longitudeDelta
1,Urban Music Festival,A vibrant celebration of urban music and culture,2023-11-01T00:00:00Z,2023-11-05T00:00:00Z,#FF5733,https://images.unsplash.com/photo-1501281668745-f7f57925c3b4,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","1,2,3,4,5",pl1,firebaseUid1,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Atlanta, Georgia, USA",33.7490,-84.3880,0.01,0.01
2,Jazz Night Extravaganza,An elegant evening showcasing the best in jazz,2023-11-10T00:00:00Z,2023-11-15T00:00:00Z,#33FF57,https://images.unsplash.com/photo-1492684223066-81342ee5ff30,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","6,7,8,9,10,11",pl2,firebaseUid2,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"New Orleans, Louisiana, USA",29.9511,-90.0715,0.01,0.01
3,Classical Symphony Concert,Experience the magic of orchestral masterpieces,2023-11-20T00:00:00Z,2023-11-25T00:00:00Z,#3357FF,https://images.unsplash.com/photo-1513151233558-d860c5398176,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","12,13,14,15,16",pl3,firebaseUid3,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Vienna, Austria",48.2082,16.3738,0.01,0.01
4,Vibe Music Festival,Everybody heard of it.,2023-12-01T00:00:00Z,2023-12-05T00:00:00Z,#FF33A1,https://images.unsplash.com/photo-1521737604893-d14cc237f11d,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","17,18,19,20,1,2",pl4,firebaseUid4,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Targu Mures, Romania",46.562936,24.580954,0.01,0.01
5,Rock & Roll Revival,Relive the golden age of rock and roll,2023-12-10T00:00:00Z,2023-12-15T00:00:00Z,#A133FF,https://images.unsplash.com/photo-1513151233558-d860c5398176,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","3,4,5,6,7,8,9",pl5,firebaseUid5,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"London, England, UK",51.5074,-0.1278,0.01,0.01
6,World Music Celebration,A multicultural celebration of global sounds,2023-12-20T00:00:00Z,2023-12-25T00:00:00Z,#33FFF5,https://images.unsplash.com/photo-1501281668745-f7f57925c3b4,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","10,11,12,13,14",pl6,firebaseUid6,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Rio de Janeiro, Brazil",-22.9068,-43.1729,0.01,0.01
7,Hip Hop Summit,Celebrating the culture and history of hip hop,2024-01-01T00:00:00Z,2024-01-05T00:00:00Z,#FF8C33,https://images.unsplash.com/photo-1492684223066-81342ee5ff30,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","15,16,17,18,19,20",pl7,firebaseUid7,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Brooklyn, New York, USA",40.6782,-73.9442,0.01,0.01
8,Indie Artist Showcase,Discover tomorrow's stars today,2024-01-10T00:00:00Z,2024-01-15T00:00:00Z,#8CFF33,https://images.unsplash.com/photo-1513151233558-d860c5398176,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","1,2,3,4,5,6,7",pl8,firebaseUid8,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Portland, Oregon, USA",45.5051,-122.6750,0.01,0.01
9,Country Music Festival,A celebration of authentic country music,2024-01-20T00:00:00Z,2024-01-25T00:00:00Z,#338CFF,https://images.unsplash.com/photo-1521737604893-d14cc237f11d,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","8,9,10,11,12",pl9,firebaseUid9,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Nashville, Tennessee, USA",36.1627,-86.7816,0.01,0.01
10,Blues & Soul Festival,An evening of soulful rhythms and blues,2024-02-01T00:00:00Z,2024-02-05T00:00:00Z,#FF3333,https://images.unsplash.com/photo-1501281668745-f7f57925c3b4,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","13,14,15,16,17,18",pl10,firebaseUid10,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Memphis, Tennessee, USA",35.1495,-90.0490,0.01,0.01
11,Pop Summer Concert,The biggest pop hits under the summer sky,2024-02-10T00:00:00Z,2024-02-15T00:00:00Z,#33FF8C,https://images.unsplash.com/photo-1492684223066-81342ee5ff30,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","19,20,1,2,3,4,5",pl11,firebaseUid11,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Los Angeles, California, USA",34.0522,-118.2437,0.01,0.01
12,Acoustic Sessions,An intimate evening of acoustic performances,2024-02-20T00:00:00Z,2024-02-25T00:00:00Z,#8C33FF,https://images.unsplash.com/photo-1513151233558-d860c5398176,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","6,7,8,9,10,11,12",pl12,firebaseUid12,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Austin, Texas, USA",30.2672,-97.7431,0.01,0.01
13,Music Tech Expo,Exploring the future of music technology,2024-03-01T00:00:00Z,2024-03-05T00:00:00Z,#FF338C,https://images.unsplash.com/photo-1521737604893-d14cc237f11d,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","13,14,15,16,17",pl13,firebaseUid13,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Tokyo, Japan",35.6762,139.6503,0.01,0.01
14,Latin Dance Night,A celebration of Latin rhythms and dance,2024-03-10T00:00:00Z,2024-03-15T00:00:00Z,#33FF33,https://images.unsplash.com/photo-1501281668745-f7f57925c3b4,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","18,19,20,1,2,3",pl14,firebaseUid14,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"San Juan, Puerto Rico",18.4655,-66.1057,0.01,0.01
15,Reggae Beach Party,Island vibes and reggae beats by the shore,2024-03-20T00:00:00Z,2024-03-25T00:00:00Z,#3333FF,https://images.unsplash.com/photo-1492684223066-81342ee5ff30,"https://images.unsplash.com/photo-1523580494863-6f3031224c94,https://images.unsplash.com/photo-1511795409834-ef04bbd61622,https://images.unsplash.com/photo-1492684223066-81342ee5ff30","4,5,6,7,8,9,10",pl15,firebaseUid15,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,"Kingston, Jamaica",18.0179,-76.8099,0.01,0.01
